排行,證券代号,證券名稱,市值佔大盤比重
775,3031,佰鴻,0.0059%
776,3055,蔚華科,0.0058%
777,2611,志信,0.0058%
778,2453,凌群,0.0058%
779,1410,南染,0.0058%
780,1733,五鼎,0.0058%
781,1906,寶隆,0.0058%
782,8104,錸寶,0.0058%
783,6598,ABC-KY,0.0058%
784,6552,易華電,0.0057%
785,4133,亞諾法,0.0057%
786,3050,鈺德,0.0057%
787,2364,倫飛,0.0056%
788,1463,強盛,0.0056%
789,4106,雃博,0.0056%
790,3437,榮創,0.0056%
791,8103,瀚荃,0.0056%
792,1526,日馳,0.0055%
793,1236,宏亞,0.0055%
794,1626,艾美特-KY,0.0054%
795,1617,榮星,0.0054%
796,2399,映泰,0.0054%
797,2380,虹光,0.0054%
798,3052,夆典,0.0054%
799,6796,晉弘,0.0054%
800,6142,友勁,0.0054%
801,4545,銘鈺,0.0053%
802,2390,云辰,0.0053%
803,2365,昆盈,0.0053%
804,2488,漢平,0.0053%
805,1325,恆大,0.0053%
806,1568,倉佑,0.0053%
807,1452,宏益,0.0053%
808,6426,統新,0.0052%
809,6216,居易,0.0052%
810,6671,三能-KY,0.0051%
811,5225,東科-KY,0.0051%
812,4916,事欣科,0.0051%
813,3419,譁裕,0.0051%
814,9944,新麗,0.0051%
815,1438,三地開發,0.0051%
816,2465,麗臺,0.0051%
817,2427,三商電,0.005%
818,3060,銘異,0.005%
819,6834,天二科技,0.005%
820,4967,十銓,0.005%
821,6141,柏承,0.005%
822,4930,燦星網,0.0049%
823,4440,宜新實業,0.0049%
824,8011,台通,0.0049%
825,2543,皇昌,0.0049%
826,2537,聯上發,0.0049%
827,1445,大宇,0.0049%
828,1468,昶和,0.0049%
829,2250,IKKA-KY,0.0048%
830,3591,艾笛森,0.0048%
831,6155,鈞寶,0.0048%
832,6136,富爾特,0.0048%
833,8429,金麗-KY,0.0047%
834,9955,佳龍,0.0047%
835,1809,中釉,0.0047%
836,3164,景岳,0.0047%
837,3011,今皓,0.0046%
838,8072,陞泰,0.0046%
839,6641,基士德-KY,0.0045%
840,3311,閎暉,0.0045%
841,3094,聯傑,0.0045%
842,1528,恩德,0.0045%
843,1439,雋揚,0.0044%
844,3021,鴻名,0.0044%
845,2358,廷鑫,0.0044%
846,2929,淘帝-KY,0.0043%
847,1416,廣豐,0.0043%
848,1337,再生-KY,0.0043%
849,1539,巨庭,0.0043%
850,1467,南緯,0.0043%
851,6558,興能高,0.0043%
852,6698,旭暉應材,0.0042%
853,6625,必應,0.0042%
854,3040,遠見,0.0042%
855,2415,錩新,0.0042%
856,2482,連宇,0.0042%
857,2468,華經,0.0041%
858,2024,志聯,0.0041%
859,5244,弘凱,0.0041%
860,8222,寶一,0.0041%
861,6674,鋐寶科技,0.004%
862,3543,州巧,0.004%
863,2444,兆勁,0.004%
864,2901,欣欣,0.0039%
865,1454,台富,0.0039%
866,8438,昶昕,0.0039%
867,3535,晶彩科,0.0038%
868,3652,精聯,0.0038%
869,6215,和椿,0.0038%
870,6152,百一,0.0038%
871,1475,業旺,0.0038%
872,3054,立萬利,0.0038%
873,3046,建碁,0.0038%
874,2440,太空梭,0.0038%
875,3058,立德,0.0036%
876,3296,勝德,0.0036%
877,1470,大統新創,0.0036%
878,1453,大將,0.0035%
879,1474,弘裕,0.0035%
880,2904,匯僑,0.0035%
881,3518,柏騰,0.0035%
882,2939,凱羿-KY,0.0034%
883,1587,吉茂,0.0034%
884,1340,勝悅-KY,0.0034%
885,1735,日勝化,0.0034%
886,1456,怡華,0.0033%
887,1465,偉全,0.0033%
888,3025,星通,0.0033%
889,3607,谷崧,0.0033%
890,4956,光鋐,0.0033%
891,6591,動力-KY,0.0033%
892,6405,悅城,0.0032%
893,4720,德淵,0.0032%
